Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
vitals_gcs,daily,,text,Glasgow Coma Score (GCS / 15) ,,,number,,,,[daily_datatype(1)]='1',,,,,,
vitals_urineflow,daily,,text,Urine flow rate (mL/24 hours),,,number,,,,[daily_datatype(1)]='1',,,,,,
treatments_oralrehydration,daily,TREATMENTS & INTERVENTIONS (Record all interventions received or true between 00:00 to 24:00 on day of assessment),radio,Oral rehydration? ,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_oralrehydrationvol,daily,,text,Oral rehydration volume (mL/24 hours),,,number,,,,[treatments_oralrehydration] = '1',,,,,,
treatments_parenteralfluidtype,daily,,checkbox,Select all parenteral / IV fluid that were administered,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches | 5, Fibrinogen concentrate | 6, None",,,,,,[daily_datatype(2)]='1',,,,,,
treatments_parenteralfluidcrysvol,daily,,text,Crystalloid volume (mL/24 hours),,,,,,,[treatments_parenteralfluidtype(1)] = '1',,,,,,
treatments_parenteralfluidalbvol,daily,,text,Albumin volume (mL/24 hours),,,,,,,[treatments_parenteralfluidtype(2)] = '1',,,,,,
treatments_parenteralfluidgelavol,daily,,text,Gelatin volume (mL/24 hours),,,,,,,[treatments_parenteralfluidtype(3)] = '1',,,,,,
treatments_parenteralfluidstarvol,daily,,text,Starches volume (mL/24 hours),,,,,,,[treatments_parenteralfluidtype(4)] = '1',,,,,,
treatments_parenteralfluidsfibrinogenvol,daily,,text,Fibrinogen concentrate (mL/24 hours),,,,,,,[treatments_parenteralfluidtype(5)] = '1',,,,,,
treatments_bloodtransftype,daily,,checkbox,Select all blood products that were administered,"1, Platelets | 2, Cryoprecipitate | 3, Whole blood/packed RBC | 4, Frozen fresh plasma | 5, Fibrinogen concentrate | 6, None",,,,,,[daily_datatype(2)]='1',,,,,,
treatments_plateletsvol,daily,,text,Platelets volume (mL/24 hours),,,,,,,[treatments_bloodtransftype(1)] = '1',,,,,,
treatments_cryoprecipitatevol,daily,,text,Cryoprecipitate  volume (mL/24 hours),,,,,,,[treatments_bloodtransftype(2)] = '1',,,,,,
treatments_wholebloodvol,daily,,text,Whole blood/packed RBC volume (mL/24 hours),,,,,,,[treatments_bloodtransftype(3)] = '1',,,,,,
treatments_plasmavol,daily,,text,Frozen fresh plasma volume (mL/24 hours),,,,,,,[treatments_bloodtransftype(4)] = '1',,,,,,
treatments_fibrinogenvol,daily,,text,Fibrinogen concentrate volume (mL/24 hours),,,,,,,[treatments_bloodtransftype(5)] = '1',,,,,,
treatments_intravenimunoglobul,daily,,radio,Intravenous Immunoglobulin?,"1, Yes | 0, No",,,,,,[inclusioncriteria_disease(4)] = '1' and [daily_datatype(2)]='1',,RH,,,,
treatments_plasmapheresis,daily,,radio,Plasmapheresis/Plasma Exchange? ,"1, Yes | 2, No",,,,,,[inclusioncriteria_disease(4)] = '1' and [daily_datatype(2)]='1',,RH,,,,
treatments_antibiotics,daily,,radio,Antibiotics? ,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_steroids,daily,,radio,Steroids? ,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_suppleo2,daily,,radio,Any supplemental oxygen,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_o2supporttype,daily,,radio,What is the most amount of respiratory support a patient has received (from 00:00 to 24:00) on day of assessment?,"1, Nasal prong | 2, Face mask | 3, High-flow nasal oxygen | 4, Non-invasive ventilation | 5, Invasive ventilation | 6, ECLS/ ECMO",,,,,,[treatments_suppleo2] = '1',,RV,,,,
treatments_pao2sampletype,daily,,radio,PaO2 sample type,"1, Arterial | 2, Not done",,,,,,[treatments_o2supporttype] = '4' or [treatments_o2supporttype] = '5' or [treatments_o2supporttype] = '6',,,,,,
treatments_pao2,daily,,text,PaO2,,,number,,,,[treatments_pao2sampletype] = '1',,,,,,
treatments_pao2units,daily,,radio,PaO2 Units,"1, kPa | 2, mmHg",,,,,,[treatments_pao2sampletype] = '1',,RH,,,,
treatments_highestfio2,daily,,text,FiO2 at time of PaO2 ,,,number,,,,[treatments_pao2sampletype] = '1',,,,,,
treatments_highestfio2units,daily,,radio,Highest FiO2 Unit,"1, 0.21-1.0 | 2, %",,,,,,[treatments_pao2sampletype] = '1',,,,,,
treatments_typleniv,daily,,radio,What type of Non-invasive ventilation?,"1, CPAP | 2, BIPAP | 3, Other",,,,,,[treatments_o2supporttype] = '4',,,,,,
treatments_typeecmo,daily,,radio,What type of ECLS/ ECMO? ,"1, Venous-venous | 2, Venous-arterial",,,,,,[treatments_o2supporttype] = '6',,,,,,
treatments_neuromuscularblocking,daily,,radio,Neuromuscular blocking agents?,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_nitricoxide,daily,,radio,Inhaled nitric oxide? ,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_icu,daily,,radio,ICU / ITU / HDU / Intermediate Care Unit admission?      ,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_rtt,daily,,radio,Renal replacement therapy (RRT) or dialysis / hemofiltration?  ,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_vasopressorinotropic,daily,,radio,Any vasopressor/inotropic support?,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_vasopress1,daily,,radio,OPC1,"1, Yes | 2, No",,,,,,[treatments_vasopressorinotropic] = '1',,RH,,,,
treatments_vasopress2,daily,,radio,OPC2,"1, Yes | 2, No",,,,,,[treatments_vasopressorinotropic] = '1',,RH,,,,
treatments_vasopress3,daily,,radio,OPC3,"1, Yes | 2, No",,,,,,[treatments_vasopressorinotropic] = '1',,RH,,,,
treatments_unlisted,daily,,radio,Other intervention(s) or procedure(s)?,"1, Yes | 2, No",,,,,,[daily_datatype(2)]='1',,RH,,,,
treatments_unlistedother,daily,,notes,Specify other intervention(s) or procedure(s),,,,,,,[treatments_unlisted] = '1',,,,,,
labs_haemoglobin,daily,"LABORATORY RESULTS 
(Record the value furthest from normal range between 00:00 to 24:00 on day of assessment)
",text,Haemoglobin,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_haemoglobinunits,daily,,radio,Haemoglobin Units,"1, g/dL | 2, g/L | 3, mmol/L | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_haemoglobinotherunit,daily,,text,Specify Haemoglobin Units,,,,,,,[labs_haemoglobinunits]='4',,,,,,
labs_wbccount,daily,,text,WBC count (10^9/L),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_lymphocytes,daily,,text,Lymphocytes,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_lymphocytesunits,daily,,radio,Lymphocytes Units,"1, 10^9/L | 2, 10^6/L | 3, cells/uL | 4, 10^3/uL | 5, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_lymphocytesotherunit,daily,,text,Specify Lymphocytes Units,,,,,,,[labs_lymphocytesunits]='5',,,,,,
labs_neutrophils,daily,,text,Neutrophils,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_neutrophilsunits,daily,,radio,Neutrophils Units,"1, 10^9/L | 2, 10^6/L | 3, cells/uL | 4, 10^3/uL | 5, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_neutrophilsotherunit,daily,,text,Specify Neutrophils Units,,,,,,,[labs_neutrophilsunits]='5',,,,,,
labs_hematocrit,daily,,text,Hematocrit,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_hematocritunits,daily,,radio,Hematocrit Units,"1, % | 2, fraction of 1 | 3, L/L | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_hematocritotherunit,daily,,text,Specify Hematocrit Units,,,,,,,[labs_hematocritunits]='4',,,,,,
labs_platelets,daily,,text,Platelets,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_plateletsunits,daily,,radio,Platelets Units,"1, 10^9/L | 2, 10^6/L | 3, 10^3/uL | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_plateletsotherunit,daily,,text,Specify Platelets Units,,,,,,,[labs_plateletsunits]='4',,,,,,
labs_activatedpartialthromboplastintime,daily,,text,Activated Partial Thromboplastin Time (seconds),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_aptr,daily,,text,APTR,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_prothrombintime,daily,,text,Prothrombin Time (seconds),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_tqinr,daily,,text,TQ/INR,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_altsgpt,daily,,text,ALT / SGPT (U/L),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_bilirubin,daily,,text,Bilirubin,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_bilirubinunits,daily,,radio,Bilirubin Units,"1, umol/L | 2, mg/dL | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_bilirubinotherunit,daily,,text,Specify Bilirubin Units,,,,,,,[labs_bilirubinunits]='3',,,,,,
labs_astsgot,daily,,text,AST / SGOT (U/L) ,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_glucose,daily,,text,Glucose,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_glucoseunits,daily,,radio,Glucose Units,"1, mmol/L | 2, mg/dL | 3, g/L | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_glucoseotherunit,daily,,text,Specify Glucose Units,,,,,,,[labs_glucoseunits]='4',,,,,,
labs_gammaglutamyltransferase,daily,,text,Gamma Glutamyl Transferase (U/L),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_ureanitrogen,daily,,text,Urea Nitrogen,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_ureanitrogenunits,daily,,radio,Urea Nitrogen Units,"1, mmol/L | 2, mg/dL | 3, g/L | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_ureanitrogenotherunit,daily,,text,Specify Urea Nitrogen Units,,,,,,,[labs_ureanitrogenunits]='4',,,,,,
labs_lactate,daily,,text,Lactate (mmol/L),,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_creatinine,daily,,text,Creatinine,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_creatinineunits,daily,,radio,Creatinine Units,"1, umol/L | 2, mg/dL | 3, umol | 4, Other",,,,,,[daily_datatype(3)]='1',,RV,,,,
labs_creatinineotherunit,daily,,text,Specify Creatinine Units,,,,,,,[labs_creatinineunits]='4',,,,,,
labs_sodium,daily,,text,Sodium,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_sodiumunits,daily,,radio,Sodium Units,"1, mmol/L | 2, mEq/L | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_sodiumotherunit,daily,,text,Specify Sodium Units,,,,,,,[labs_sodiumunits]='3',,,,,,
labs_potassium,daily,,text,Potassium,,,number,,,,[daily_datatype(3)]='1',,,,,,
labs_potassiumunits,daily,,radio,Potassium Units,"1, mmol/L | 2, mEq/L | 3, Other",,,,,,[daily_datatype(3)]='1',,RH,,,,
labs_potassiumotherunit,daily,,text,Specify Potassium Units,,,,,,,[labs_potassiumunits]='3',,,,,,
labs_procalcitonin,daily,,text,Procalcitonin,,,number,,,,[daily_datatype(3)]='1',,,,,,
