Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_Nigeria_Mpox
presentation,DEMOGRAPHICS,demog_race_other,text,Specify other race,,,,,,[demog_race(10)] = '1',1,,1
presentation,DEMOGRAPHICS,demog_ethnic,checkbox,Ethnic group,"1, Yoruba | 2, Ibo | 3, Hausa | 99, Other",,,,,,,,1
presentation,DEMOGRAPHICS,demog_ethnicoth,text,Specify other ethnic group,,,,,,[demog_ethnic(99)]='1',,,1
presentation,DEMOGRAPHICS,demog_healthcare,radio,Employed as a healthcare worker,"1, Yes, patient facing | 2, Yes, laboratory | 3, Yes, no patients/laboratory | 0, No",,,,,,,,1
presentation,DEMOGRAPHICS,demog_occupation,radio,Primary location of occupation,"1, Home-working or unemployed | 2, Indoors-office/health/education/hospitality/business/homes | 3, Indoors-factory | 4, Outdoors-agriculture/forestry/fisheries | 5, Outdoors-construction/industrial/mining | 6, Armed Forces | 7, Student | 8, Other",,,,,,1,,
presentation,DEMOGRAPHICS,demog_occupation_oth,text,Specify other primary location of occupation,,,,,,[demog_occupation(8)] = '1',1,,
presentation,DEMOGRAPHICS,demog_residence,radio,Region of residence,"1, Same as health care facility | 2, Other region",,,,,,1,,
presentation,DEMOGRAPHICS,demog_residence_oth,text,Specify other region of residence,,,,,,[demog_residence(2)] = '1',1,,
presentation,TRAVEL HISTORY,travel_travel14d,radio,Travel outside of their region of residence in the past 14 days,"1, Yes | 0, No",,,,,,1,,
presentation,TRAVEL HISTORY,travel_loc,notes,Specify all city/cities or town(s) and region(s) of travel,,,,,,[demog_travel14d(1)] = '1',1,,
presentation,PREGNANCY,preg_pregnant,radio,Pregnant,"1, Yes | 0, No",,,,,[demog_sex(2)] = '1',1,,1
presentation,PREGNANCY,preg_geswek,number,Gestational weeks assessment (weeks),,number,,,,[preg_pregnant(1)] = '1',1,,1
presentation,PREGNANCY,preg_postpartum,radio,Post-partum (within 6 weeks of delivery),"1, Yes | 0, No",,,,,[demog_sex(2)] = '1',,,1
presentation,PREGNANCY,preg_delvdt,date_dmy,Delivery date,,date_dmy,,today,,[preg_postpartum(1)] = '1',,,1
presentation,PREGNANCY,preg_bboutc,radio,Pregnancy outcome,"1, Live birth | 2, Still birth",,,,,[preg_postpartum(1)] = '1',,,1
presentation,PREGNANCY,preg_bbtest,radio,Baby tested for Mother's infection/condition,"1, Yes | 0, No",,,,,[preg_postpartum(1)] = '1',,,1
presentation,PREGNANCY,preg_bbresl,radio,Test result,"1, Positive | 0, Negative",,,,,[preg_bbtest(1)] = '1',,,1
presentation,INFANT: less than 12 months old,infa_brtwei_units,radio,Birth weight (select units),,,,,,([demog_age] < 12 and [demog_age_units(2)]='1') or   [demog_age_units(3)]='1',,,
presentation,INFANT: less than 12 months old,infa_brtwei_kg,number,Birth weight (kg),,number,,,,([demog_age] < 12 and [demog_age_units(2)]='1') or   [demog_age_units(3)]='1',,,1
presentation,INFANT: less than 12 months old,infa_brtwei_lb,number,Birth weight (lb),,number,,,,([demog_age] < 12 and [demog_age_units(2)]='1') or   [demog_age_units(3)]='1',,,
presentation,INFANT: less than 12 months old,infa_outcome,radio,Gestational outcome,"1, Term birth (>=37wk GA) | 2, Preterm birth (< 37wk GA)",,,,,([demog_age] < 12 and [demog_age_units(2)]='1') or   [demog_age_units(3)]='1',,,1
presentation,INFANT: less than 12 months old,infa_brefed,radio,Breastfed,"1, Yes, currently breastfeeding | 2, Yes, breastfeeding discontinued | 0, No",,,,,([demog_age] < 12 and [demog_age_units(2)]='1') or   [demog_age_units(3)]='1',,,1
presentation,INFANT: less than 12 months old,infa_aprvac,radio,Vaccinations appropriate for age/country,"1, Yes | 0, No",,,,,([demog_age] < 12 and [demog_age_units(2)]='1') or   [demog_age_units(3)]='1',,,
presentation,VACCINATION,vacci_covid19,group,COVID-19,,,,,,,,,
presentation,VACCINATION,vacci_covid19_yn,radio,Vaccinated for COVID-19 (ever),"1, Yes | 0, No",,,,,,,,
presentation,VACCINATION,vacci_covid19_date,date_dmy,Date of most recent COVID-19 vaccine,,date_dmy,,today,,[vacci_covid19_yn(1)] = '1',,,
presentation,VACCINATION,vacci_influenza,group,INFLUENZA,,,,,,,,,
presentation,VACCINATION,vacci_influenza_yn,radio,Vaccinated for influenza (ever),"1, Yes | 0, No",,,,,,,,
presentation,VACCINATION,vacci_influenza_date,date_dmy,Date of most recent influenza vaccine,,date_dmy,,today,,[vacci_influenza_yn(1)] = '1',,,
presentation,VACCINATION,vacci_dengue,group,DENGUE,,,,,,,1,,
presentation,VACCINATION,vacci_dengue_yn,radio,Vaccinated for dengue (ever),"1, YES, once | 2, YES, twice | 3, YES, thrice | 0, No",,,,,,1,,
presentation,VACCINATION,vacci_dengue_date,date_dmy,Date of first dengue vaccine,,date_dmy,,today,,[vacci_dengue_yn(1)]='1' or [vacci_dengue_yn(2)]='1' or [vacci_dengue_yn(3)]='1',1,,
presentation,VACCINATION,vacci_dengue_type,radio,Type of first dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,[vacci_dengue_yn(1)]='1' or [vacci_dengue_yn(2)]='1' or [vacci_dengue_yn(3)]='1',1,,
presentation,VACCINATION,vacci_dengue_date2,date_dmy,Date of second dengue vaccine,,date_dmy,,today,,[vacci_dengue_yn(2)]='1' or [vacci_dengue_yn(3)]='1',1,,
presentation,VACCINATION,vacci_dengue_type2,radio,Type of second dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,[vacci_dengue_yn(2)]='1' or [vacci_dengue_yn(3)]='1',1,,
presentation,VACCINATION,vacci_dengue_date3,date_dmy,Date of third dengue vaccine,,date_dmy,,today,,[vacci_dengue_yn(3)]='1',1,,
presentation,VACCINATION,vacci_dengue_type3,radio,Type of third dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,[vacci_dengue_yn(3)]='1',1,,
presentation,VACCINATION,vacci_mpox,group,MPOX,,,,,,,,,1
presentation,VACCINATION,vacci_mpox_1980,radio,Received smallpox vaccine prior to 1980?,"1, Yes | 0, No | 2, Don't know",,,,,,,,1
presentation,VACCINATION,vacci_mpox_date,date_dmy,"If yes, year vaccinated:",,date_dmy,,today,,[vacci_mpox_1980(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_dateapr,text,Age in years when vaccinated,,number,,,,[vacci_mpox_1980(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_ageu,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,[vacci_mpox_1980(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_estiyn,radio,Is the stated year or age an estimate?,"1, Yes | 0, No",,,,,[vacci_mpox_1980(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_agealt,radio,"If age or year not known, status when vaccinated:","1, Child | 2, Adult",,,,,[vacci_mpox_1980(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_scar,radio,Is a smallpox vaccination scar visible (usually on the upper arm if present)?,"1, Yes | 0, No",,,,,[vacci_mpox_1980(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_recent,radio,Received vaccination more recently to protect against mpox (or smallpox)?,"1, Yes | 0, No",,,,,,,,1
presentation,VACCINATION,vacci_mpox_type,checkbox,Vaccine type:,"1, Imvanex/Imvamune/Jyneos (MVA-BN) | 2, ACAM2000 | 3, LC16m8 | 4, Other",,,,,[vacci_mpox_recent(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_other,text,Please specify other vaccine:,,,,,,[vacci_mpox_type(4)]='1',,,1
presentation,VACCINATION,vacci_mpox_d1,date_dmy,Date of first vaccine,,date_dmy,,today,,[vacci_mpox_1980(1)]='1' or [vacci_mpox_recent(1)]='1',,,1
presentation,VACCINATION,vacci_mpox_d2,date_dmy,Date of second vaccine,,date_dmy,,today,,[vacci_mpox_1980(1)]='1' and [vacci_mpox_recent(1)]='1',,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_steroid,radio,Steroid,"1, Yes | 0, No",,,,,,1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_steroid_agent,list,Steroid agent,,,,,,[drugs_steroid(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_steroid_route,radio,Steroid administration route,"1, Oral | 2, Inhaled | 3, IV",,,,,[drugs_steroid(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_steroid_add,radio,Additional steroid,"1, Yes | 0, No",,,,,[drugs_steroid(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_steroid_agent2,list,Additional steroid agent,,,,,,[drugs_steroid_add(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_steroid_route2,radio,Additional steroid administration route,"1, Oral | 2, Inhaled | 3, IV",,,,,[drugs_steroid_add(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_immunusupp,radio,Immunosuppressant (not steroids),"1, Yes | 0, No",,,,,,1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_immunusupp_agent,list,Immunosuppressant agent,,,,,,[drugs_immunusupp(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_immunusupp_add,radio,Additional immunosuppressant,"1, Yes | 0, No",,,,,[drugs_immunusupp(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_immunusupp_agent2,list,Additional immunosuppressant agent,,,,,,[drugs_immunusupp_add(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_aspirin,radio,Aspirin,"1, Yes | 0, No",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antibiotic,radio,Antibiotics,"1, Yes | 0, No",,,,,,1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antibiotic_agent,list,Antibiotic agent,,,,,,[drugs_antibiotic(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antibiotic_add,radio,Additional antibiotic,"1, Yes | 0, No",,,,,,1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antibiotic_agent2,list,Additional antibiotic agent,,,,,,[drugs_antibiotic_add(1)] = '1',1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_nsaid,radio,NSAIDs,"1, Yes | 0, No",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_nsaid_agent,list,NSAIDs agent,,,,,,[drugs_nsaid(1)] = '1',1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_nsaid_add,radio,Additional NSAID,"1, Yes | 0, No",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_nsaid_agent2,list,Additional NSAID agent,,,,,,[drugs_nsaid_add(1)] = '1',1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antiviral,radio,Antiviral,"1, Yes | 0, No",,,,,,,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antiviral_agent,list,Antiviral agent,,,,,,[drugs_antiviral(1)] = '1',,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antiviral_add,radio,Additional antiviral,"1, Yes | 0, No",,,,,,,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_antiviral_agent2,list,Additional antiviral agent,,,,,,[drugs_antiviral_add(1)] = '1',,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_anticoagul,radio,Anticoagulant,"1, Yes | 0, No",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_anticoagul_agent,list,Anticoagulant agent,,,,,,[drugs_anticoagul(1)] = '1',1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_anticoagul_add,radio,Additional anticoagulant,"1, Yes | 0, No",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_anticoagul_agent2,list,Additional anticoagulant agent,,,,,,[drugs_anticoagul_add(1)] = '1',1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_ivfluid,radio,Intravenous fluid,"1, Yes | 0, No",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_ivfluid_type,dropdown,Intravenous fluid type,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches, | 5, Fibrinogen concentrate | 6, Other fluid",,,,,[drugs_ivfluid(1)] = '1',1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_ivfluid_add,radio,Additional intravenous fluid,"1, Yes | 0, No",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_ivfluid_agent2,dropdown,Intravenous fluid type,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches, | 5, Fibrinogen concentrate | 6, Other fluid",,,,,[drugs_ivfluid_add(1)] = '1',1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_ivfluid_vol,number,Total intravenous fluid volume in the previous 24 hours,,number,,,,[drugs_ivfluid(1)] = '1',1,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_hivprep,radio,HIV PREP/PEP,"1, Yes | 0, No",,,,,,,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_unlisted,radio,Other pathogen-targeted medications,"1, Yes | 0, No",,,,,,1,,1
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drugs_unlisted_other,text,Other agent,,,,,,[drugs_unlisted(1)] = '1',1,,1
presentation,MEDICAL HISTORY,medic_gastro,group,GASTROENTERITIS,,,,,,,,,
presentation,MEDICAL HISTORY,medic_gastro_yn,radio,Gastroenteritis illness (including diarrhoea or vomiting) in the past 3 months,"1, Yes | 0, No",,,,,,,,
presentation,MEDICAL HISTORY,medic_gastro_start,date_dmy,Approximate start date of this illness,,date_dmy,,today,,[medic_gastro_yn(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_persist,radio,Did any symptoms of this illness persist for more than one week,"1, Yes | 0, No",,,,,[medic_gastro_yn(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_diarrhoea,radio,Diarrhoea persisted for >1 week,"1, Yes | 0, No",,,,,[medic_gastro_persist(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_weightloss,radio,Weight loss persisted for >1 week,"1, Yes | 0, No",,,,,[medic_gastro_persist(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_nausea,radio,Vomiting / Nausea persisted for >1 week,"1, Yes | 0, No",,,,,[medic_gastro_persist(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_abdominalp,radio,Abdominal pain persisted for >1 week,"1, Yes | 0, No",,,,,[medic_gastro_persist(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_fever,radio,Fever persisted for >1 week,"1, Yes | 0, No",,,,,[medic_gastro_persist(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_tiredness,radio,Tiredness persisted for >1 week,"1, Yes | 0, No",,,,,[medic_gastro_persist(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_unlisted,radio,Other symptom(s) persisted for >1 week,"1, Yes | 0, No",,,,,[medic_gastro_persist(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_gastro_unlistedoth,text,Specify other symptom(s) persisted for >1 week,,,,,,[medic_gastro_unlisted(1)] = '1',,,
presentation,MEDICAL HISTORY,medic_dengue,group,DENGUE,,,,,,,,,
presentation,MEDICAL HISTORY,medic_dengue_occur,radio,Is the patient known to have had previous dengue infection(s),"1, Yes | 0, No",,,,,,1,,
presentation,MEDICAL HISTORY,medic_firstadm_type,radio,Was the patient ever hospitalised for a previous dengue infection,"1, Yes, admitted to hospital or ICU | 0, No",,,,,[medic_dengue_occur(1)] = '1',1,,
presentation,MEDICAL HISTORY,medic_mpox,group,MPOX,,,,,,,,,1
presentation,MEDICAL HISTORY,medic_mpox_previnf,radio,"Before the current episode of mpox, has the participant ever been infected with the Mpox virus?","1, Yes | 0, No",,,,,,,,1
presentation,MEDICAL HISTORY,medic_mpox_infstart,date_dmy,When did the previous episode of mpox begin?,,date_dmy,,today,,[medic_mpox_previnf(1)]='1',,,1
presentation,MEDICAL HISTORY,medic_mpox_infend,date_dmy,When did the previous episode of mpox end?,,date_dmy,,today,,[medic_mpox_previnf(1)]='1',,,1
presentation,MEDICAL HISTORY,medic_mpox_labtest,radio,Was the episode of mpox confirmed by laboratory testing?,"1, Yes | 0, No",,,,,[medic_mpox_previnf(1)]='1',,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrcardiac,radio,Chronic cardiac disease (not hypertension),"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hypertensi,radio,Hypertension  ,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrpulmona,radio,Chronic pulmonary disease (not asthma),"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_asthma,radio,Asthma (physician diagnosed),"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrkidney,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_obesity,radio,Obesity (as defined by clinical staff),"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_liverdisea_mild,radio,Mild liver disease,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_liverdisea_severe,radio,Moderate or severe liver disease,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hepbc,radio,Chronic hepatitis B/C infection,"1, Yes | 0, No",,,,,,1,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_asplenia,radio,Asplenia,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrneurolo,radio,Chronic neurological disorder,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_malignantn,radio,Malignant neoplasm,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrhematol,radio,Chronic hematologic disease,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_sti,radio,Active sexually transmitted infection,"1, Yes | 0, No",,,,,,,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_cpox,radio,Active chickenpox,"1, Yes | 0, No",,,,,,,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_rheumatolo,radio,Rheumatologic disorder,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_aids,radio,AIDS / HIV,"1, YES-on ART | 2, YES-not on ART | 0, NO",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_aids_cd4,radio,Most recent CD4 count (cells/uL),"1, Less than 200 | 2, 200-500 | 3, More than 500",,,,,[comor_aids(1)] = '1',1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_diabetes,radio,Diabetes Mellitus,"1, YES - Type 1 | 2, YES - Type 2 | 3, YES - Gestational | 0, NO",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_diabetes_u,group,HbA1C results within last 6 months (select units),,,,,,[comor_diabetes(1)] = '1' or [comor_diabetes(2)] = '1' or [comor_diabetes(3)] = '1',1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_diabetes_mmolmol,number,HbA1C results within last 6 months (mmol/mol),,number,,,,[comor_diabetes(1)] = '1' or [comor_diabetes(2)] = '1' or [comor_diabetes(3)] = '1',,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_diabetes_mmoll,number,HbA1C results within last 6 months (mmol/L),,number,,,,[comor_diabetes(1)] = '1' or [comor_diabetes(2)] = '1' or [comor_diabetes(3)] = '1',,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_diabetes_porc,number,HbA1C results within last 6 months (%),,number,,,,[comor_diabetes(1)] = '1' or [comor_diabetes(2)] = '1' or [comor_diabetes(3)] = '1',,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_dementia,radio,Dementia,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_tuberculos,radio,Tuberculosis,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_malnutriti,radio,Malnutrition,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_smoking,radio,Smoking tobacco,"1, Current smoker | 0, Never smoked | 3, Former smoker",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_unlisted,radio,Other relevant comorbidity(s)             ,"1, Yes | 0, No",,,,,,1,,1
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_unlisted_other,text,Specify other relevant comorbidity(s),,,,,,[comor_unlisted(1)] = '1',1,,1
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, within 24 hours of presentation / admission",adsym_fever,radio,Fever / chills / rigors,"1, Yes | 0, No",,,,,,1,,1
