Variable / Field Name,Form Name,Section Header,Field Label,"Choices, Calculations, OR Slider Labels",Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Standardized Term Codelist URL,Metathesaurus Concept Code,Metathesaurus Code Link,Branching Logic (Show field only if...)
comorbidities_malignantneoplasm,presentation,,Malignant neoplasm,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has a malignant neoplasm specified as carcinomas, Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"363346000, Malignant neoplastic disease","https://termbrowser.nhs.uk/?perspective=full&conceptId1=363346000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C1861853, Malignant Neoplasm",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1861853,
comorbidities_chronichematologic,presentation,,Chronic hematologic disease,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has disorders of the blood and blood forming organs, specified as blood cell cancers, rere genetic disorders, anaemia, conditions related to HIV, sickle cell disease, complications from chemotherapy or transfusions at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"398983000, Chronic disease of hematopoietic system","https://termbrowser.nhs.uk/?perspective=full&conceptId1=398983000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C1275398, Chronic disease of haematopoietic system",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1275398,
comorbidities_rheumatologic,presentation,,Rheumatologic disorder,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has rheumatic disorders specified as osteoarthritis and rheumatoid arthritis at the specified time.,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"69896004, Rheumatoid arthritis disorder","https://termbrowser.nhs.uk/?perspective=full&conceptId1=69896004&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0035435, Rheumatologic Disorder",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0035435,
comorbidities_aids,presentation,,AIDS / HIV,"1, YES-on ART | 2, YES-not on ART | 3, No | 4, Unknown","An indication whether the patient had/has Human Immunodeficiency Virus 1 or 2 or has/had Aquired Immunity Deficiency Syndrome specified as a chronic, potentially life threatening condition that is caused by human immunodeficiency virus (HIV) infection, and is characterized by increased susceptibility to opportunistic infections, certain cancers and neurologic disorders at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"62479008, Acquired immune deficiency syndrome; 19030005, Human immunodeficiency virus ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=62479008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104,                             https://termbrowser.nhs.uk/?perspective=full&conceptId1=19030005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0001175, Acquired Immunodeficiency Syndrome; C0019704 Human Immunodeficiency Virus 1; C0019707 Human Immunodeficiency Virus 2",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0001175      ;https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0019704;      https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0019707,
comorbidities_diabetes,presentation,,Diabetes Mellitus,"1, YES-Type 1 | 2, YES -Type 2 | 3, YES -Gestational | 4, No | 5, Unknown",An indication whether the patient had/has a metabolic disorder characterized by abnormally high blood sugar levels due to diminished production of insulin or insulin resistance/desensitization at the specified time.,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"73211009, Diabetes mellitus","https://termbrowser.nhs.uk/?perspective=full&conceptId1=73211009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4013416, Diabetes Mellitus",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4013416,
comorbidities_dementia,presentation,,Dementia,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has dementia, specified as a loss of intellectual abilities interfering with an individual's social and occupational functions. Causes include Alzheimer's disease, brain injuries, brain tumors, and vascular disorders at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"52448006, Dementia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=52448006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C1969275, Dementia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1969275,
comorbidities_tuberculosis,presentation,,Tuberculosis,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has tuberculosis, specified as a chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"56717001, Tuberculosis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=56717001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0041296, Tuberculosis",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0041296,
comorbidities_malnutrition,presentation,,Malnutrition,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has malnutrition, specified as inadequate nutrition resulting from poor diet, malabsorption, or abnormal nutrient distribution at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"2492009, Nutritional disorder","https://termbrowser.nhs.uk/?perspective=full&conceptId1=2492009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL1378604, Malnutrition",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL1378604,
comorbidities_smoking,presentation,,Smoking,"1, Current smoker | 2, Never smoked | 3, Former smoke | 4, Unknown","An indication whether the patient had/has smoked, specified as the act of puffing and/or inhaling the combustion products of a substance so as to be tasted and absorbed into the bloodstream at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"77176002, Smoker","https://termbrowser.nhs.uk/?perspective=full&conceptId1=77176002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0037369, Smoking",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0037369,
comorbidities_hepatiticbc,presentation,,Chronic hepatitis B/C infection,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has Hepatitis B or C at the specified time.,COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"61977001, Chronic type B viral hepatitis, 128302006, Chronic hepatitis C","https://termbrowser.nhs.uk/?perspective=full&conceptId1=61977001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104,    https://termbrowser.nhs.uk/?perspective=full&conceptId1=128302006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0524909, chronic type B viral hepatitis; C0524910, chronic hepatitis C",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0524909; https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0524910,
comorbidities_liverdisease,presentation,,Liver disease,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has (chronic?) liver disease, specified as Hepatic necrosis, inflammation, or scarring due to any cause that persists for more than 6 months. Manifestations may include signs and symptoms of cholestasis, portal hypertension, and/or abnormal liver function tests at the specified time.",COMORBIDITITES: Please record if any of these comorbidities existed prior to admission. ,SNOMED,"235856003, Disorder of liver; 328383001, Chronic liver disease","*https://termbrowser.nhs.uk/?perspective=full&conceptId1=235856003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104                                                                                                                       *https://termbrowser.nhs.uk/?perspective=full&conceptId1=328383001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0341439, chronic liver disease",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0341439,
symptoms_fever,presentation,"SIGNS AND SYMPTOMS ON ADMISSION  (first data, within 24 hours of presentation/admission)",History of fever / chills / rigors,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has a history of flu-like symptoms specified as fever, chills and/or rigors at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"95891005, Influenza-like illness (finding)","https://termbrowser.nhs.uk/?perspective=full&conceptId1=95891005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0521839, Inflenza-like illness",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0521839,
symptoms_cough,presentation,,Cough      ,"1, YES - non-productive | 2, YES - productive | 3, YES - with haemoptysis | 4, NO | 5, Unknown","An indication whether the patient had/has a cough, specified as a sudden, often repetitive, spasmodic contraction of the thoracic cavity, resulting in violent release of air from the lungs, and usually accompanied by a distinctive sound at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"49727002, Cough","https://termbrowser.nhs.uk/?perspective=full&conceptId1=49727002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0010200, Cough",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0010200,
symptoms_sorethroat,presentation,,Sore throat,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has a sore throat, specified as any kind of inflammatory process of the tonsils, pharynx, or/and larynx characterized by pain in swallowing at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"162397003, Pain in throat","https://termbrowser.nhs.uk/?perspective=full&conceptId1=162397003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3854544, Sore Throat",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3854544,
symptoms_rhinorrhoea,presentation,,Runny nose (rhinorrhoea),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has nasal discharge, specified as a discharge of fluid from the nose at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"64531003, Nasal discharge","https://termbrowser.nhs.uk/?perspective=full&conceptId1=64531003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C1260880, Rhinorrhea",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C1260880,
symptoms_wheezing,presentation,,Wheezing,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has wheezing, specified as a high-pitched breath sound resulting from a narrowing or obstruction of the small airways at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"56018004, Wheezing","https://termbrowser.nhs.uk/?perspective=full&conceptId1=56018004&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0043144, Wheezing",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0043144,
symptoms_shortnessofbreath,presentation,,Shortness of breath ,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has shortness of breath, characterised by an uncomfortable sensation of difficulty breathing at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"267036007, Dyspnea","https://termbrowser.nhs.uk/?perspective=full&conceptId1=267036007&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4230442, Dyspnea",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4230442,
symptoms_chestindrawing,presentation,,Lower chest wall indrawing,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has lower chest wall indrawing specified as retraction of lower chest wall at the specified time.,SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"67909005, Chest wall retraction","https://termbrowser.nhs.uk/?perspective=full&conceptId1=67909005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0231906, Chest wall retraction",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/pages/message.jsf,
symptoms_chestpain,presentation,,Chest pain,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has chest pain, specified as an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the chest at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"29857009, Chest pain","https://termbrowser.nhs.uk/?perspective=full&conceptId1=29857009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3807341, Chest pain",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3807341,
symptoms_conjunctivitis,presentation,,Conjunctivitis,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has conjunctivitis, specified as an inflammation of the conjunctiva of the eye (membranes lining the eyelids and covering the white part of the eye) at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"9826008, Conjunctivitis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=9826008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4011653, Conjunctivitis",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4011653,
symptoms_anosmia,presentation,,Loss of smell (Anosmia),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has anosmia, specified as a loss of smell at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"44169009, Loss of sense of smell","https://termbrowser.nhs.uk/?perspective=full&conceptId1=44169009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0003126, anosmia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0003126,
symptoms_ageusia,presentation,,Loss of taste (Ageusia),"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has ageusia, specified as a loss of taste at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"36955009, Loss of taste","https://termbrowser.nhs.uk/?perspective=full&conceptId1=36955009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C2364111, Ageusia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C2364111,
symptoms_lymphadenopathy,presentation,,Lymphadenopathy,"1, Yes | 2, No | 3, Unknown",An indication whether the patient had/has lymphadenopathy specified as abnormal enlargement of the lymph nodes at the specified time.,SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"30746006, Lymphadenopathy","https://termbrowser.nhs.uk/?perspective=full&conceptId1=30746006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4014613, Lymphadenopathy",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4014613,
symptoms_fatigue,presentation,,Fatigue / Malaise / Lethargy,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has asthenia, specified as a sign or symptom of weakness and diminished or absent energy and strength (fatigue, malaise, lethargy) at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"13791008, Asthenia ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=13791008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0004093, Asthenia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0004093,
symptoms_headache,presentation,,Headache,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has a headache, specified as pain in various parts of the head, not confined to the area of distribution of any nerve at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"25064002, Headache ","https://termbrowser.nhs.uk/?perspective=full&conceptId1=25064002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0018681, Headache",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0018681,
symptoms_seizures,presentation,,Seizures,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has seizures or convulsions specified as a sudden, involuntary skeletal muscular contractions of cerebral or brain stem origin at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"230433003, Isolated seizures (disorder)","https://termbrowser.nhs.uk/?perspective=full&conceptId1=230433003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C2748942, Seizure",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C2748942,
symptoms_confusion,presentation,,Altered consciousness/confusion,"1, Yes | 2, No | 3, Unknown","An indication whether the patient had/has altered consciousness/confusion, specified as A level of awareness and arousal other than normal at the specified time.",SIGNS AND SYMPTOMS: Please record if any of these signs and symptoms existed prior to admission. ,SNOMED,"443371007, Decreased level of consciousness","https://termbrowser.nhs.uk/?perspective=full&conceptId1=443371007&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0150450, Altered level of consciousness",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0150450,
