Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,preset_Disease_Core,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_Nigeria_Mpox,preset_UK-CCP_Generic
presentation,DEMOGRAPHICS,demog_residence,radio,Patient's city of residence,"1, Same city as health care facility | 2, Different city from health care facility | 99, Unknown",,,,,,,1,,,
presentation,DEMOGRAPHICS,demog_residence_oth,text,Specify other region of residence,,,,,,[demog_residence]='2',,1,,,
presentation,TRAVEL HISTORY,travel_travel14d,radio,Did the patient travel outside of their home region in the past 14 days?,"1, Yes | 0, No | 99, Unknown",,,,,,,1,,,
presentation,TRAVEL HISTORY,travel_loc,notes,Specify all city/cities or town(s) and region(s) of travel,,,,,,[travel_travel14d] = '1',,1,,,
presentation,PREGNANCY,preg_pregnant,radio,Pregnant,"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' and [demog_age_units]='1',1,1,,1,
presentation,PREGNANCY,preg_geswek,number,Gestational weeks assessment (weeks),,number,,,,[preg_pregnant] = '1',1,1,,1,
presentation,PREGNANCY,preg_postpartum,radio,Post-partum (within 6 weeks of delivery),"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' and [preg_pregnant]<>1 and [demog_age_units]='1',1,1,,1,
presentation,PREGNANCY,preg_delvdt,date_dmy,Delivery date,,date_dmy,,today,,[preg_postpartum] = '1',1,,,1,
presentation,PREGNANCY,preg_bboutc,radio,Pregnancy outcome,"1, Live birth | 2, Still birth | 3, Termination",,,,,[preg_postpartum]='1',1,1,,1,
presentation,PREGNANCY,preg_gesweekout,number,Gestational weeks at pregnancy outcome,,number,,,,[preg_postpartum] = '1',,1,,,
presentation,PREGNANCY,preg_bbtest,radio,Baby tested for Mother's infection/condition,"1, Yes | 0, No | 99, Unknown",,,,,[preg_postpartum] = '1',1,,,1,
presentation,PREGNANCY,preg_bbresl,radio,Test result,"1, Positive | 0, Negative | 99, Unknown",,,,,[preg_bbtest] = '1',1,,,1,
presentation,INFANT: less than 12 months old,infa_brtwei,,Birth weight (select units),,,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,,,,
presentation,INFANT: less than 12 months old,infa_brtwei_kg,number,Birth weight (kg),,number,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',1,,,1,
presentation,INFANT: less than 12 months old,infa_brtwei_lb,number,Birth weight (lb),,number,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',,,,,
presentation,INFANT: less than 12 months old,infa_outcome,radio,Gestational outcome,"1, Term birth (>=37wk GA) | 2, Preterm birth (< 37wk GA) | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',1,,,1,
presentation,INFANT: less than 12 months old,infa_brefed,radio,Breastfed,"1, Yes, currently breastfeeding | 2, Yes, breastfeeding discontinued | 0, No | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',1,,,1,
presentation,INFANT: less than 12 months old,infa_aprvac,radio,Vaccinations appropriate for age/country,"1, Yes | 0, No | 99, Unknown",,,,,([demog_age] < 12 and [demog_age_units]='2') or [demog_age_units]='3',1,,,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrcardiac,radio,Chronic cardiac disease (not hypertension),"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hypertensi,radio,Hypertension (physician diagnosed),"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrpulmona,radio,Chronic pulmonary disease (not asthma),"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_asthma,radio,Asthma (physician diagnosed),"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrkidney,radio,Chronic kidney disease,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_obesity,radio,Obesity (as defined by clinical staff),"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_liverdisea,group,Liver disease,,,,,,,,,,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_liverdisea_gnrl,radio,Liver disease,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_liverdisea_mild,radio,Mild liver disease,"1, Yes | 0, No | 99, Unknown",,,,,[comor_liverdisea_gnrl]='1',1,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_liverdisea_severe,radio,Moderate or severe liver disease,"1, Yes | 0, No | 99, Unknown",,,,,[comor_liverdisea_gnrl]='1',1,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hepbc,radio,Chronic hepatitis B/C infection,"1, Yes | 0, No | 99, Unknown",,,,,,,1,,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_asplenia,radio,Asplenia,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrneurolo,radio,Chronic neurological disorder,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_malignantn,radio,Malignant neoplasm,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_chrhematol,radio,Chronic hematologic disease,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_sti,radio,Active sexually transmitted infection,"1, Yes | 0, No | 99, Unknown",,,,,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_cpox,radio,Active chickenpox,"1, Yes | 0, No | 99, Unknown",,,,,,,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_rheumatolo,radio,Rheumatologic disorder,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_aids,radio,AIDS / HIV,"1, YES-on ART | 2, YES-not on ART | 0, NO | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_aids_cd4,radio,Most recent CD4 count (cells/uL),"1, Less than 200 | 2, 200-<500 | 3, 500 or more | 99, Unknown",,,,,[comor_aids] = '1',1,1,,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_aids_cd4v2,radio,CD4 count (cells/uL),"1, Less than 50 | 2, 50-99 | 3, 100-199 | 4, 200-499 | 5, 500 and over | 99, Unknown",,,,,[comor_aids] = '1' or [comor_aids] = '2',,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_aids_cd4date,date_dmy,CD4 count date:,,date_dmy,,today,,[comor_aids] = '1',,,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_diabetes,radio,Diabetes Mellitus,"1, YES - Type 1 | 2, YES - Type 2 | 3, YES - Gestational | 0, NO | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hba1c,,HbA1C results within last 6 months (select units),,,,,,[comor_diabetes] = '1' or [comor_diabetes]='2' or [comor_diabetes]='3',1,,,,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hba1c_mmolmol,number,HbA1C results within last 6 months (mmol/mol),,number,,,,[comor_diabetes] = '1' or [comor_diabetes]='2' or [comor_diabetes]='3',1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hba1c_mmoll,number,HbA1C results within last 6 months (mmol/L),,number,,,,[comor_diabetes] = '1' or [comor_diabetes]='2' or [comor_diabetes]='3',1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_hba1c_porc,number,HbA1C results within last 6 months (%),,number,,,,[comor_diabetes] = '1' or [comor_diabetes]='2' or [comor_diabetes]='3',1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_dementia,radio,Dementia,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_tuberculos,radio,Tuberculosis,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_malnutriti,radio,Malnutrition,"1, Yes | 0, No | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_smoking,radio,Smoking,"1, Current smoker | 0, Never smoked | 3, Former smoker | 99, Unknown",,,,,,1,1,,1,
presentation,CO-MORBIDITIES AND RISK FACTORS: existing prior to admission and ongoing,comor_unlisted,list,Other relevant comorbidity(s),"1, Yes | 0, No | 99, Unknown",,,,conditions_Comorbidities,,1,1,,1,
presentation,MEDICAL HISTORY,medic_gastro,group,GASTROENTERITIS,,,,,,,,,,,
presentation,MEDICAL HISTORY,medic_gastro_yn,radio,Gastroenteritis illness (including diarrhoea or vomiting) in the past 3 months,"1, Yes | 0, No",,,,,,,,,,
presentation,MEDICAL HISTORY,medic_gastro_start,date_dmy,Approximate start date of this illness,,date_dmy,,today,,[medic_gastro_yn] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_persist,radio,Did any symptoms of this illness persist for more than one week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_yn] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_diarrhoea,radio,Diarrhoea persisted for >1 week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_persist] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_weightloss,radio,Weight loss persisted for >1 week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_persist] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_nausea,radio,Vomiting / Nausea persisted for >1 week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_persist] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_abdominalp,radio,Abdominal pain persisted for >1 week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_persist] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_fever,radio,Fever persisted for >1 week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_persist] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_tiredness,radio,Tiredness persisted for >1 week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_persist] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_unlisted,radio,Other symptom(s) persisted for >1 week,"1, Yes | 0, No | 99, Unknown",,,,,[medic_gastro_persist] = '1',,,,,
presentation,MEDICAL HISTORY,medic_gastro_unlistedoth,text,Specify other symptom(s) persisted for >1 week,,,,,,[medic_gastro_unlisted] = '1',,,,,
presentation,MEDICAL HISTORY,medic_dengue,group,DENGUE,,,,,,,,1,,,
presentation,MEDICAL HISTORY,medic_dengue_occur,radio,Is the patient known to have had previous dengue infection(s),"1, Yes | 0, No | 99, Unknown",,,,,,,1,,,
presentation,MEDICAL HISTORY,medic_firstadm,radio,Was the patient ever hospitalised for a previous dengue infection,"1, Yes, admitted to hospital or ICU | 0, No | 99, Unknown",,,,,[medic_dengue_occur] = '1',,1,,,
presentation,MEDICAL HISTORY MPOX,medic_mpox,group,MPOX,,,,,,,,,,1,
presentation,MEDICAL HISTORY MPOX,medic_mpox_previnf,radio,"Was the participant ever diagnosed with mpox in the past, before this current episode of mpox?","1, Yes | 0, No | 99, Unknown",,,,,,,,,1,
presentation,MEDICAL HISTORY MPOX,medic_mpox_infstart,date_dmy,When did the previous episode of mpox begin?,,date_dmy,,today,,[medic_mpox_previnf]='1',,,,1,
presentation,MEDICAL HISTORY MPOX,medic_mpox_infend,date_dmy,When did the previous episode of mpox end?,,date_dmy,,today,,[medic_mpox_previnf]='1',,,,1,
presentation,MEDICAL HISTORY MPOX,medic_mpox_labtest,radio,Was the episode of mpox confirmed by laboratory testing?,"1, Yes | 0, No | 99, Unknown",,,,,[medic_mpox_previnf]='1',,,,1,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_steroid,list,Steroid,"1, Yes | 0, No | 99, Unknown",,,,drugs_Steroids,,,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_steroid_route,radio,Steroid administration route,"1, Oral | 2, Inhaled | 3, IV | 99, Unknown",,,,,[drug7_steroid] = '1',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_immunusupp,list,Immunosuppressant agents (not steroids),"1, Yes | 0, No | 99, Unknown",,,,drugs_Immunosuppressants,,,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_aspirin,radio,Aspirin,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_antibiotic,list,Antibiotics,"1, Yes | 0, No | 99, Unknown",,,,drugs_Antibiotics,,,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_nsaid,list,NSAIDs,"1, Yes | 0, No | 99, Unknown",,,,drugs_NSAIDs,,,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_antiviral,list,Antiviral,"1, Yes | 0, No | 99, Unknown",,,,drugs_Antiviral,,,,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_anticoagul,list,Anticoagulant,"1, Yes | 0, No | 99, Unknown",,,,drugs_Anticoagulant,,,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid,radio,Intravenous fluid,"1, Yes | 0, No | 99, Unknown",,,,,,,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_type,dropdown,Intravenous fluid type,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches | 5, Fibrinogen concentrate | 88, Other fluid",,,,,[drug7_ivfluid] = '1',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_otyp,text,Specify other intravenous fluid type,,,,,,[drug7_ivfluid_type]='88',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_vol,number,Total intravenous fluid volume in the previous 24 hours (mL),,number,,,,[drug7_ivfluid] = '1',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_reas,checkbox,Indication/reason,"1, Shock | 88, Other | 99, Unknown",,,,,[drug7_ivfluid] = '1',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_oth,text,Specify other reason:,,,,,,[drug7_ivfluid_reas(88)]='1',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_add,radio,Additional intravenous fluid,"1, Yes | 0, No | 99, Unknown",,,,,,,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_agent2,dropdown,Intravenous fluid type,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches, | 5, Fibrinogen concentrate | 88, Other fluid",,,,,[drug7_ivfluid_add] = '1',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_otyp2,text,Specify other intravenous fluid type,,,,,,[drug7_ivfluid_agent2]='88',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_ivfluid_vol2,number,Total intravenous fluid volume in the previous 24 hours (mL),,number,,,,[drug7_ivfluid_add] = '1',,1,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_hivprep,radio,HIV PREP/PEP,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
presentation,MEDICATION PREVIOUS 7-DAYS: include all taken within 7 days prior to this most recent admission / presentation,drug7_unlisted,list,Other pathogen-targeted medications,"1, Yes | 0, No | 99, Unknown",,,,drugs_Other,,,1,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_steroid,list,Steroid,"1, Yes | 0, No | 99, Unknown",,,,drugs_Steroids,,1,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_steroid_route,radio,Steroid administration route,"1, Oral | 2, Inhaled | 3, IV | 99, Unknown",,,,,[drug14_steroid] = '1',1,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_immunusupp,list,Immunosuppressant agents (not steroids),"1, Yes | 0, No | 99, Unknown",,,,drugs_Immunosuppressants,,1,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_aspirin,radio,Aspirin,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_antibiotic,list,Antibiotics,"1, Yes | 0, No | 99, Unknown",,,,drugs_Antibiotics,,1,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_nsaid,list,NSAIDs,"1, Yes | 0, No | 99, Unknown",,,,drugs_NSAIDs,,,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_antiviral,list,Antiviral,"1, Yes | 0, No | 99, Unknown",,,,drugs_Antiviral,,1,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_anticoagul,list,Anticoagulant,"1, Yes | 0, No | 99, Unknown",,,,drugs_Anticoagulant,,,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid,radio,Intravenous fluid,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_type,dropdown,Intravenous fluid type,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches | 5, Fibrinogen concentrate | 88, Other fluid",,,,,[drug14_ivfluid] = '1',,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_otyp,text,Specify other intravenous fluid type,,,,,,[drug14_ivfluid_type]='88',,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_vol,number,Total intravenous fluid volume in the previous 24 hours (mL),,number,,,,[drug14_ivfluid] = '1',,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_reas,checkbox,Indication/reason,"1, Shock | 88, Other | 99, Unknown",,,,,[drug14_ivfluid] = '1',,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_oth,text,Specify other reason:,,,,,,[drug14_ivfluid_reas(88)]='1',,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_add,radio,Additional intravenous fluid,"1, Yes | 0, No",,,,,,,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_agent2,dropdown,Intravenous fluid type,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches, | 5, Fibrinogen concentrate | 88, Other fluid",,,,,[drug14_ivfluid_add] = '1',,,,,
presentation,MEDICATION PREVIOUS 14-DAYS: include all taken within 14 days prior to this most recent admission / presentation,drug14_ivfluid_otyp2,text,Specify other intravenous fluid type,,,,,,[drug14_ivfluid_agent2]='88',,,,,
